ds,y,hour,weekday,is_weekend,weekofyear,month,year,is_winter
2018-05-15 09:00:00,45,9,1,0,20,5,2018,0
2018-05-15 12:00:00,41,12,1,0,20,5,2018,0
2018-05-15 15:00:00,17,15,1,0,20,5,2018,0
2018-05-15 18:00:00,20,18,1,0,20,5,2018,0
2018-05-15 21:00:00,6,21,1,0,20,5,2018,0
2018-05-16 03:00:00,2,3,2,0,20,5,2018,0
2018-05-16 06:00:00,9,6,2,0,20,5,2018,0
2018-05-16 09:00:00,11,9,2,0,20,5,2018,0
2018-05-16 12:00:00,15,12,2,0,20,5,2018,0
2018-05-16 15:00:00,12,15,2,0,20,5,2018,0
2018-05-16 18:00:00,6,18,2,0,20,5,2018,0
2018-05-16 21:00:00,1,21,2,0,20,5,2018,0
2018-05-17 15:00:00,3,15,3,0,20,5,2018,0
2018-05-17 18:00:00,2,18,3,0,20,5,2018,0
2018-05-17 21:00:00,1,21,3,0,20,5,2018,0
2018-05-18 03:00:00,1,3,4,0,20,5,2018,0
2018-05-18 06:00:00,2,6,4,0,20,5,2018,0
2018-05-18 09:00:00,6,9,4,0,20,5,2018,0
2018-05-18 12:00:00,10,12,4,0,20,5,2018,0
2018-05-18 15:00:00,10,15,4,0,20,5,2018,0
2018-05-18 18:00:00,7,18,4,0,20,5,2018,0
2018-05-19 06:00:00,2,6,5,1,20,5,2018,0
2018-05-19 09:00:00,15,9,5,1,20,5,2018,0
2018-05-19 12:00:00,9,12,5,1,20,5,2018,0
2018-05-19 15:00:00,14,15,5,1,20,5,2018,0
2018-05-20 06:00:00,4,6,6,1,20,5,2018,0
2018-05-20 09:00:00,12,9,6,1,20,5,2018,0
2018-05-20 12:00:00,15,12,6,1,20,5,2018,0
2018-05-20 15:00:00,9,15,6,1,20,5,2018,0
2018-05-20 18:00:00,1,18,6,1,20,5,2018,0
2018-05-20 21:00:00,1,21,6,1,20,5,2018,0
2018-05-21 06:00:00,9,6,0,0,21,5,2018,0
2018-05-21 09:00:00,6,9,0,0,21,5,2018,0
2018-05-21 12:00:00,12,12,0,0,21,5,2018,0
2018-05-21 15:00:00,12,15,0,0,21,5,2018,0
2018-05-21 18:00:00,11,18,0,0,21,5,2018,0
2018-05-22 03:00:00,4,3,1,0,21,5,2018,0
2018-05-22 06:00:00,14,6,1,0,21,5,2018,0
2018-05-22 09:00:00,4,9,1,0,21,5,2018,0
2018-05-22 12:00:00,17,12,1,0,21,5,2018,0
2018-05-22 15:00:00,9,15,1,0,21,5,2018,0
2018-05-22 18:00:00,14,18,1,0,21,5,2018,0
2018-05-22 21:00:00,1,21,1,0,21,5,2018,0
2018-05-23 03:00:00,3,3,2,0,21,5,2018,0
2018-05-23 06:00:00,4,6,2,0,21,5,2018,0
2018-05-23 09:00:00,6,9,2,0,21,5,2018,0
2018-05-23 12:00:00,29,12,2,0,21,5,2018,0
2018-05-23 15:00:00,23,15,2,0,21,5,2018,0
2018-05-23 18:00:00,7,18,2,0,21,5,2018,0
2018-05-23 21:00:00,1,21,2,0,21,5,2018,0
2018-05-24 03:00:00,6,3,3,0,21,5,2018,0
2018-05-24 06:00:00,11,6,3,0,21,5,2018,0
2018-05-24 09:00:00,11,9,3,0,21,5,2018,0
2018-05-24 12:00:00,22,12,3,0,21,5,2018,0
2018-05-24 15:00:00,13,15,3,0,21,5,2018,0
2018-05-24 18:00:00,9,18,3,0,21,5,2018,0
2018-05-24 21:00:00,3,21,3,0,21,5,2018,0
2018-05-25 03:00:00,1,3,4,0,21,5,2018,0
2018-05-25 06:00:00,9,6,4,0,21,5,2018,0
2018-05-25 09:00:00,13,9,4,0,21,5,2018,0
2018-05-25 12:00:00,20,12,4,0,21,5,2018,0
2018-05-25 15:00:00,18,15,4,0,21,5,2018,0
2018-05-25 18:00:00,10,18,4,0,21,5,2018,0
2018-05-25 21:00:00,2,21,4,0,21,5,2018,0
2018-05-26 03:00:00,2,3,5,1,21,5,2018,0
2018-05-26 06:00:00,5,6,5,1,21,5,2018,0
2018-05-26 09:00:00,23,9,5,1,21,5,2018,0
2018-05-26 12:00:00,15,12,5,1,21,5,2018,0
2018-05-26 15:00:00,17,15,5,1,21,5,2018,0
2018-05-26 18:00:00,10,18,5,1,21,5,2018,0
2018-05-26 21:00:00,1,21,5,1,21,5,2018,0
2018-05-27 03:00:00,1,3,6,1,21,5,2018,0
2018-05-27 06:00:00,2,6,6,1,21,5,2018,0
2018-05-27 09:00:00,9,9,6,1,21,5,2018,0
2018-05-27 12:00:00,8,12,6,1,21,5,2018,0
2018-05-27 15:00:00,9,15,6,1,21,5,2018,0
2018-05-27 18:00:00,4,18,6,1,21,5,2018,0
2018-05-27 21:00:00,1,21,6,1,21,5,2018,0
2018-05-28 03:00:00,2,3,0,0,22,5,2018,0
2018-05-28 06:00:00,5,6,0,0,22,5,2018,0
2018-05-28 09:00:00,6,9,0,0,22,5,2018,0
2018-05-28 12:00:00,16,12,0,0,22,5,2018,0
2018-05-28 15:00:00,5,15,0,0,22,5,2018,0
2018-05-28 18:00:00,5,18,0,0,22,5,2018,0
2018-05-28 21:00:00,1,21,0,0,22,5,2018,0
2018-05-29 03:00:00,4,3,1,0,22,5,2018,0
2018-05-29 06:00:00,4,6,1,0,22,5,2018,0
2018-05-29 09:00:00,5,9,1,0,22,5,2018,0
2018-05-29 12:00:00,13,12,1,0,22,5,2018,0
2018-05-29 15:00:00,13,15,1,0,22,5,2018,0
2018-05-29 18:00:00,9,18,1,0,22,5,2018,0
2018-05-29 21:00:00,4,21,1,0,22,5,2018,0
2018-05-30 03:00:00,4,3,2,0,22,5,2018,0
2018-05-30 06:00:00,11,6,2,0,22,5,2018,0
2018-05-30 09:00:00,23,9,2,0,22,5,2018,0
2018-05-30 12:00:00,31,12,2,0,22,5,2018,0
2018-05-30 15:00:00,46,15,2,0,22,5,2018,0
2018-05-30 18:00:00,21,18,2,0,22,5,2018,0
2018-05-30 21:00:00,7,21,2,0,22,5,2018,0
2018-05-31 03:00:00,8,3,3,0,22,5,2018,0
2018-05-31 06:00:00,26,6,3,0,22,5,2018,0
2018-05-31 09:00:00,10,9,3,0,22,5,2018,0
2018-05-31 12:00:00,45,12,3,0,22,5,2018,0
2018-05-31 15:00:00,36,15,3,0,22,5,2018,0
2018-05-31 18:00:00,22,18,3,0,22,5,2018,0
2018-05-31 21:00:00,4,21,3,0,22,5,2018,0
2018-06-01 03:00:00,10,3,4,0,22,6,2018,0
2018-06-01 06:00:00,30,6,4,0,22,6,2018,0
2018-06-01 09:00:00,21,9,4,0,22,6,2018,0
2018-06-01 12:00:00,48,12,4,0,22,6,2018,0
2018-06-01 15:00:00,53,15,4,0,22,6,2018,0
2018-06-01 18:00:00,40,18,4,0,22,6,2018,0
2018-06-01 21:00:00,8,21,4,0,22,6,2018,0
2018-06-02 03:00:00,5,3,5,1,22,6,2018,0
2018-06-02 06:00:00,14,6,5,1,22,6,2018,0
2018-06-02 09:00:00,44,9,5,1,22,6,2018,0
2018-06-02 12:00:00,41,12,5,1,22,6,2018,0
2018-06-02 15:00:00,48,15,5,1,22,6,2018,0
2018-06-02 18:00:00,40,18,5,1,22,6,2018,0
2018-06-02 21:00:00,21,21,5,1,22,6,2018,0
2018-06-03 06:00:00,10,6,6,1,22,6,2018,0
2018-06-03 09:00:00,48,9,6,1,22,6,2018,0
2018-06-03 12:00:00,47,12,6,1,22,6,2018,0
2018-06-03 15:00:00,34,15,6,1,22,6,2018,0
2018-06-03 18:00:00,20,18,6,1,22,6,2018,0
2018-06-03 21:00:00,14,21,6,1,22,6,2018,0
2018-06-04 03:00:00,10,3,0,0,23,6,2018,0
2018-06-04 06:00:00,19,6,0,0,23,6,2018,0
2018-06-04 09:00:00,19,9,0,0,23,6,2018,0
2018-06-04 12:00:00,29,12,0,0,23,6,2018,0
2018-06-04 15:00:00,29,15,0,0,23,6,2018,0
2018-06-04 18:00:00,16,18,0,0,23,6,2018,0
2018-06-04 21:00:00,9,21,0,0,23,6,2018,0
2018-06-05 03:00:00,8,3,1,0,23,6,2018,0
2018-06-05 06:00:00,17,6,1,0,23,6,2018,0
2018-06-05 09:00:00,23,9,1,0,23,6,2018,0
2018-06-05 12:00:00,26,12,1,0,23,6,2018,0
2018-06-05 15:00:00,30,15,1,0,23,6,2018,0
2018-06-05 18:00:00,22,18,1,0,23,6,2018,0
2018-06-05 21:00:00,10,21,1,0,23,6,2018,0
2018-06-06 03:00:00,12,3,2,0,23,6,2018,0
2018-06-06 06:00:00,28,6,2,0,23,6,2018,0
2018-06-06 09:00:00,41,9,2,0,23,6,2018,0
2018-06-06 12:00:00,51,12,2,0,23,6,2018,0
2018-06-06 15:00:00,62,15,2,0,23,6,2018,0
2018-06-06 18:00:00,34,18,2,0,23,6,2018,0
2018-06-06 21:00:00,12,21,2,0,23,6,2018,0
2018-06-07 03:00:00,11,3,3,0,23,6,2018,0
2018-06-07 06:00:00,29,6,3,0,23,6,2018,0
2018-06-07 09:00:00,17,9,3,0,23,6,2018,0
2018-06-07 12:00:00,18,12,3,0,23,6,2018,0
2018-06-07 15:00:00,21,15,3,0,23,6,2018,0
2018-06-07 18:00:00,15,18,3,0,23,6,2018,0
2018-06-07 21:00:00,5,21,3,0,23,6,2018,0
2018-06-08 03:00:00,9,3,4,0,23,6,2018,0
2018-06-08 06:00:00,36,6,4,0,23,6,2018,0
2018-06-08 09:00:00,27,9,4,0,23,6,2018,0
2018-06-08 12:00:00,60,12,4,0,23,6,2018,0
2018-06-08 15:00:00,47,15,4,0,23,6,2018,0
2018-06-08 18:00:00,31,18,4,0,23,6,2018,0
2018-06-08 21:00:00,2,21,4,0,23,6,2018,0
2018-06-09 03:00:00,2,3,5,1,23,6,2018,0
2018-06-09 06:00:00,21,6,5,1,23,6,2018,0
2018-06-09 09:00:00,62,9,5,1,23,6,2018,0
2018-06-09 12:00:00,78,12,5,1,23,6,2018,0
2018-06-09 15:00:00,57,15,5,1,23,6,2018,0
2018-06-09 18:00:00,35,18,5,1,23,6,2018,0
2018-06-09 21:00:00,21,21,5,1,23,6,2018,0
2018-06-10 03:00:00,4,3,6,1,23,6,2018,0
2018-06-10 06:00:00,9,6,6,1,23,6,2018,0
2018-06-10 09:00:00,36,9,6,1,23,6,2018,0
2018-06-10 12:00:00,55,12,6,1,23,6,2018,0
2018-06-10 15:00:00,68,15,6,1,23,6,2018,0
2018-06-10 18:00:00,53,18,6,1,23,6,2018,0
2018-06-10 21:00:00,4,21,6,1,23,6,2018,0
2018-06-11 03:00:00,9,3,0,0,24,6,2018,0
2018-06-11 06:00:00,43,6,0,0,24,6,2018,0
2018-06-11 09:00:00,33,9,0,0,24,6,2018,0
2018-06-11 12:00:00,57,12,0,0,24,6,2018,0
2018-06-11 15:00:00,38,15,0,0,24,6,2018,0
2018-06-11 18:00:00,43,18,0,0,24,6,2018,0
2018-06-11 21:00:00,5,21,0,0,24,6,2018,0
2018-06-12 03:00:00,23,3,1,0,24,6,2018,0
2018-06-12 06:00:00,61,6,1,0,24,6,2018,0
2018-06-12 09:00:00,44,9,1,0,24,6,2018,0
2018-06-12 12:00:00,82,12,1,0,24,6,2018,0
2018-06-12 15:00:00,84,15,1,0,24,6,2018,0
2018-06-12 18:00:00,33,18,1,0,24,6,2018,0
2018-06-12 21:00:00,7,21,1,0,24,6,2018,0
2018-06-13 03:00:00,18,3,2,0,24,6,2018,0
2018-06-13 06:00:00,52,6,2,0,24,6,2018,0
2018-06-13 09:00:00,46,9,2,0,24,6,2018,0
2018-06-13 12:00:00,67,12,2,0,24,6,2018,0
2018-06-13 15:00:00,90,15,2,0,24,6,2018,0
2018-06-13 18:00:00,55,18,2,0,24,6,2018,0
2018-06-13 21:00:00,12,21,2,0,24,6,2018,0
2018-06-14 03:00:00,28,3,3,0,24,6,2018,0
2018-06-14 06:00:00,41,6,3,0,24,6,2018,0
2018-06-14 09:00:00,39,9,3,0,24,6,2018,0
2018-06-14 12:00:00,76,12,3,0,24,6,2018,0
