ds,air_temperature,wind_speed,precipitation_amount
2026-02-11 09:00:00+00:00,-4.3,1.4,0.0
2026-02-11 12:00:00+00:00,-3.733333333333333,0.9,0.0
2026-02-11 15:00:00+00:00,-6.166666666666667,1.5333333333333332,0.0
2026-02-11 18:00:00+00:00,-9.366666666666667,2.6666666666666665,0.0
2026-02-11 21:00:00+00:00,-10.866666666666667,2.9,0.0
2026-02-12 00:00:00+00:00,-12.1,2.3000000000000003,0.0
2026-02-12 03:00:00+00:00,-12.566666666666668,2.033333333333333,0.0
2026-02-12 06:00:00+00:00,-11.933333333333332,1.5333333333333332,0.0
2026-02-12 09:00:00+00:00,-8.266666666666666,1.7333333333333334,0.0
2026-02-12 12:00:00+00:00,-4.233333333333333,2.066666666666667,0.0
2026-02-12 15:00:00+00:00,-6.3,1.7333333333333334,0.0
2026-02-12 18:00:00+00:00,-8.566666666666668,2.8333333333333335,0.0
2026-02-12 21:00:00+00:00,-10.166666666666666,1.5333333333333332,0.0
2026-02-13 00:00:00+00:00,-11.0,1.1666666666666667,0.0
2026-02-13 03:00:00+00:00,-11.5,1.5666666666666664,0.0
2026-02-13 06:00:00+00:00,-12.366666666666667,1.6333333333333335,0.0
2026-02-13 09:00:00+00:00,-8.5,1.1666666666666667,0.0
2026-02-13 12:00:00+00:00,-5.133333333333334,1.0,0.0
2026-02-13 15:00:00+00:00,-7.6000000000000005,1.5333333333333332,0.0
2026-02-13 18:00:00+00:00,-10.1,2.5,0.0
2026-02-14 00:00:00+00:00,-8.7,1.4,0.0
2026-02-14 06:00:00+00:00,-7.9,1.6,0.0
2026-02-14 12:00:00+00:00,-2.7,1.3,0.0
2026-02-14 18:00:00+00:00,-3.3,2.6,0.0
2026-02-15 00:00:00+00:00,-5.1,2.0,0.0
2026-02-15 06:00:00+00:00,-4.4,1.9,0.0
2026-02-15 12:00:00+00:00,-0.2,2.6,0.0
2026-02-15 18:00:00+00:00,-0.9,3.0,0.0
2026-02-16 00:00:00+00:00,-2.1,2.7,0.0
2026-02-16 06:00:00+00:00,-1.9,3.3,0.0
2026-02-16 12:00:00+00:00,0.2,4.0,0.0
2026-02-16 18:00:00+00:00,-1.0,4.1,0.0
2026-02-17 00:00:00+00:00,-1.7,3.2,0.0
2026-02-17 06:00:00+00:00,-1.6,3.0,0.0
2026-02-17 12:00:00+00:00,0.3,2.8,0.0
2026-02-17 18:00:00+00:00,-0.7,3.6,0.0
2026-02-18 00:00:00+00:00,-1.8,2.9,0.0
2026-02-18 06:00:00+00:00,-2.3,2.7,0.0
2026-02-18 12:00:00+00:00,0.1,2.7,0.0
2026-02-18 18:00:00+00:00,-0.4,2.8,0.0
2026-02-19 00:00:00+00:00,-2.2,2.6,0.0
2026-02-19 06:00:00+00:00,-1.9,2.3,0.0
2026-02-19 12:00:00+00:00,0.4,2.1,0.0
2026-02-19 18:00:00+00:00,-2.6,2.7,0.0
2026-02-20 00:00:00+00:00,-2.4,2.7,0.0
2026-02-20 06:00:00+00:00,-2.9,2.7,0.0
2026-02-20 12:00:00+00:00,-0.2,2.4,0.0
2026-02-20 18:00:00+00:00,-1.7,2.7,0.0
2026-02-21 00:00:00+00:00,-5.4,2.6,0.0
2026-02-21 06:00:00+00:00,-2.1,2.5,0.0
